10991999;DM Implantável Ativo (DMIA);Medtronic Inc. ;6052-53;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992006;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H245;LIVIAN;BOSTON SCIENTIFIC;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992014;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H247;LIVIAN;BOSTON SCIENTIFIC;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992022;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S403;S403;ALTRUA 40;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992030;DM Implantável Ativo (DMIA);Boston Scientific Corporation;M179;CONTAK RENEWAL;GUIDANT;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992049;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H145;CONTAK RENEWAL TR 2 CRT-P;GUIDANT;Pacemaker de terapia de ressincronização cardíaca (TR) (J01010401);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Possuem três electrocateteres, colocados na aurícula direita, ventrículo direito e através das veias do coração no ventrículo esquerdo, capazes de detectar e estimular as três câmaras e, assim, a ressincronização do coração.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992057;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H190;CONTAK RENEWAL 4 CRT-D;GUIDANT;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992065;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H235;CONTAK RENEWAL 4 RF;GUIDANT;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992073;DM Implantável Ativo (DMIA);St. Jude Medical | Abbott Medical;5366;INTEGRITY;St Jude Medical;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;ABBOTT MEDICAL (PORTUGAL) - DISTRIBUIÇÃO DE PRODUTOS MÉDICOS, LDA
10992081;DM Implantável Ativo (DMIA);St. Jude Medical | Abbott Medical;5360;INTEGRITY;St Jude Medical;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;ABBOTT MEDICAL (PORTUGAL) - DISTRIBUIÇÃO DE PRODUTOS MÉDICOS, LDA
10992103;DM Implantável Ativo (DMIA);Medtronic Inc. ;ADDRL1;ADAPTA® L ADDRL1;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992111;DM Implantável Ativo (DMIA);Medtronic Inc. ;ADDR06;ADAPTA® ADDR06;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992120;DM Implantável Ativo (DMIA);Medtronic Inc. ;6082-75;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992138;DM Implantável Ativo (DMIA);Medtronic Inc. ;6082-65;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992146;DM Implantável Ativo (DMIA);Medtronic Inc. ;6082-52;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992154;DM Implantável Ativo (DMIA);Medtronic Inc. ;6082-58;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992162;DM Implantável Ativo (DMIA);Medtronic Inc. ;6082;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992170;DM Implantável Ativo (DMIA);Boston Scientific Corporation;T175;VITALITY;GUIDANT;Desfibrilhadores de câmara única com sensor (J01050101);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Tem a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por um só electrocateter com sensor (localizado na aurícula ou ventrículo direitos) com função de detecção de arritmias e de estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992189;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H197;CONTAK RENEWAL 4 HE;GUIDANT;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992219;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H140;CONTAK RENEWAL TR 2 CRT-P;GUIDANT;Pacemaker de terapia de ressincronização cardíaca (TR) (J01010401);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Possuem três electrocateteres, colocados na aurícula direita, ventrículo direito e através das veias do coração no ventrículo esquerdo, capazes de detectar e estimular as três câmaras e, assim, a ressincronização do coração.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992227;DM Implantável Ativo (DMIA);Boston Scientific Corporation;T165;VITALITY;GUIDANT;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992235;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H195;CONTAK RENEWAL 4 CRT-D;GUIDANT;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992243;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4087;4087;FLEXTEND;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992251;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4543;2 IS-1;EASYTRAK;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992286;DM Implantável Ativo (DMIA);Medtronic Inc. ;4074-58;Capsure Sense;Medtronic;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992294;DM Implantável Ativo (DMIA);Medtronic Inc. ;4074;Capsure Sense;Medtronic;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992308;DM Implantável Ativo (DMIA);Medtronic Inc. ;4574-53;Capsure Sense;Medtronic;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992316;DM Implantável Ativo (DMIA);Medtronic Inc. ;4574;Capsure Sense;Medtronic;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992367;DM Implantável Ativo (DMIA);Medtronic Inc. ;5092-58;Capsure SP Novus;Medtronic;Electrocateteres ventriculares com fixação passiva (J019001010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pelo ventrículo do coração do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. O electrodo de fixação passiva é caracterizado pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992472;DM Implantável Ativo (DMIA);Medtronic Inc. ;RED01;RELIA;Medtronic;Pacemaker de dupla câmara (DC) (J01010301);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992480;DM Implantável Ativo (DMIA);Medtronic Inc. ;6725;pin-plug kit ;Medtronic;Dispositivos para a função cardíaca - outros (J019099);Dispositivos estéreis ou não estéreis que são uma miscelânea não classificado de produtos para a função cardíaca que não têm colocação nos seguintes ramos terminais específicos (electrocateter permanente, programador de dispositivos cardíacos implantáveis, sistema magnético da função cardíaca, sistema para remoção de electrocateter cardíaco). Enquadram-se também aqui os acessórios para este tipo de dispositivos. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992499;DM Implantável Ativo (DMIA);Medtronic Inc. ;5592-53;Capsure SP Novus;Medtronic;Electrocateteres auriculares com fixação passiva (J019001010101);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula do coração do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. O electrodo de fixação passiva é caracterizado pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os dispositivos descritos são de uso único";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992502;DM Implantável Ativo (DMIA);Boston Scientific Corporation;H199;CONTAK RENEWAL 4 HE;GUIDANT;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992510;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4097;4097;FLEXTEND 2;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992545;DM Implantável Ativo (DMIA);Medtronic Inc. ;6091-52; Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992553;DM Implantável Ativo (DMIA);Medtronic Inc. ;6091-53; Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992561;DM Implantável Ativo (DMIA);Medtronic Inc. ;6091; Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992570;DM Implantável Ativo (DMIA);Medtronic Inc. ;6093-52;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992588;DM Implantável Ativo (DMIA);Medtronic Inc. ;6093;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992596;DM Implantável Ativo (DMIA);Medtronic Inc. ;6093-65;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992600;DM Implantável Ativo (DMIA);Medtronic Inc. ;6093-58;Stylet Kit kit de mandrins;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10992618;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F110;F110;TELIGEN 100;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992642;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S201;S201;ALTRUA 20;Pacemaker de câmara única com sensor (SR) (J01010102);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso com sensor colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência variável, dependendo das medições dos parâmetros fisiológicos efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992650;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S204;S204;ALTRUA 20;Pacemaker de câmara única com sensor (SR) (J01010102);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso com sensor colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência variável, dependendo das medições dos parâmetros fisiológicos efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992669;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S205;S205;ALTRUA 20;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992677;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S206;S206;ALTRUA 20;Pacemaker de câmara única (SC) (J01010101);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência fixa.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10992685;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S502;S502;ALTRUA 50;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
