2291,COMPRESSA GAZE 7.5X7.5 13F N.EST(KARINA),AMERICA,PT,18 PCT C/500,500,7898488470039
591,COMPRESSA GAZE 7.5X7.5 9F EST.C10(HERIKA,AMERICA,PT,CX C/ 1020 ,1020,27898488470296
561,COMPRESSA GAZE 7.5X7.5 9F N.EST (KARINA),AMERICA,PT,PT C/ 500 UN,500,7898488470018
3390,COMPRESSA GAZE 7.5X7.5 9F N.EST (REBECA),AMERICA,PT,PT C/ 500 UN,500,7898488471558
2290,COMPRESSA GAZE7.5X7.5 11F EST C/5(HERIKA,AMERICA,PT,PT C/ 5,5,7890000000056
1568,COMPRESSA GAZE7.5X7.5 13F EST C/10(LIVIA,AMERICA,EN,CX C/840 PT,840,27898668060194
1169,COMPRESSA GAZE7.5X7.5 13F EST.C/5(HERIKA,AMERICA,UN,CX C/ 1200PC,1200,7898668060794
1117,CONJUNTO P/ANESTESIA ADULTO BARAKA,UNITEC,UN,CX C/ 1 UN,1,7898348866906
188,CORONAR 10 MG/ML INJ 1 ML ,BIOLAB,AP,CX C/ 50 AP,50,7896241237243
1133,CORRETAL 150 MG CP,EUROFARMA ONCO,CP,CX C/ 60 CP,60,7891317181895
1134,CORRETAL 500 MG CP,EUROFARMA ONCO,CP,CX C/ 120 CP,120,7891317181925
2243,"CORTICOIDEX 4 MG/ML INJ 2,5 ML ",FRESENIUS,AP,CX C/ 50 UN,50,7898208143604
1449,CORTISONAL 100 MG PO INJ,UNIAO QUIMICA,FA,CX C/ 50 FA,50,7896006239239
1726,CORTISONAL 500 MG PO INJ ,UNIAO QUIMICA,FR,CX C/ 50 FR,50,7896006238737
2012,COSOPT 25 MG/ML SOL OFT 5 ML,MUNDIPHARMA,FR,CX C/ 1 FR,1,7898586631342
1235,CRISCY 12 UI (C5) PO LIOF INJ C/DIL,CRISTALIA,FA,CX C/ 1 FA,1,7896676437539
1236,CRISCY 4 UI PO INJ C/DIL 1ML,CRISTALIA,UN,CX C/ 1 FA,1,7896676437522
50,CRISPRED 5 MG CP VP,CRISTALIA,CP,CX C/ 200 CP,200,7896676421767
1741,CURATIVO 10X10CM(ALGINATO/SODIO),CONVATEC,UN,CX C/ 10 UN,10,768455102341
1745,CURATIVO 10X10CM(CARVÃO ATIVADO S/PRATA),CONVATEC,UN,CX C/ 10 UN,10,768455104284
1800,CURATIVO 10X20CM (ALGINATO CALCIO/SODIO),CONVATEC,UN,CX C/ 10 UN,10,768455081110
1801,CURATIVO 8X15CM (CARVÃO ATIVADO S/PRATA),CONVATEC,UN,CX C/ 5UN,5,768455104291
2120,CURATIVO COLETA ADULTO BEGE (STOPPER),STOPPER,UN,CX C/ 500 UN,500,7898921246347
1785,CURATIVO ESPUMA C/ SILIC 15X15(FOAMLITE),CONVATEC,UN,CX C/ 10 UN,10,768455142323
1783,CURATIVO ESPUMA C/SILIC  10X10 (FOAMLITE,CONVATEC,UN,CX C/ 10 UN,10,768455142293
1807,CURATIVO ESPUMA COM SILICONE 15X15CM,CONVATEC,UN,CX C/ 10 UN,10,7680000003769
1804,CURATIVO ESPUMA POLIURETANO+PRATA 10X10,CONVATEC,PC,CX C/ 10 UN,10,768455123599
1806,CURATIVO ESPUMA POLIURETANO+PRATA 15X15,CONVATEC,PC,CX C/ 5UN,5,768455123643
2671,"CURATIVO ESPUMA SILIC+HIDROFIBRA19,8X14",CONVATEC,UN,PC C/ 10,10,768455157273
2709,"CURATIVO ESPUMA SILIC+HIDROFIBRA20X16,9",CONVATEC,UN,CX C/5,5,768455140534
2330,"CURATIVO ESPUMA SILIC. SACRAL 24X21,5CM",CONVATEC,UN,CX C/ 5UN,5,768455140527
2670,CURATIVO ESPUMA SILICONE+HIDROFIBRA10X10,CONVATEC,UN,PC C/ 10,10,768455157280
2669,CURATIVO ESPUMA SILICONE+HIDROFIBRA15X15,CONVATEC,UN,PC C/ 10,10,768455157297
1799,CURATIVO FITA 2GR/45CM (ALGI CALCIO/SOD),CONVATEC,UN,CX C/ 5UN,5,768455081165
1743,CURATIVO HIDROCOLOIDE E ESP POL 10X10CM,CONVATEC,UN,CX C/ 5UN,5,768455106974
1742,CURATIVO HIDROCOLOIDE E ESP POL 20X20 CM,CONVATEC,UN,CX C/ 5UN,5,768455106981
1747,CURATIVO HIDROCOLOIDE EXTRA FINO 10X10CM,CONVATEC,UN,CX C/ 10 UN,10,768455106912
1780,CURATIVO HIDROCOLOIDE EXTRA FINO 15X15CM,CONVATEC,V,CX C/ 10 UN,10,768455106929
1746,CURATIVO HIDROFIBRA C/PRATA 10X10(AG EXT,CONVATEC,UN,CX C/ 10 UN,10,768455127412
1730,CURATIVO HIDROFIBRA C/PRATA 10X10CM,CONVATEC,UN,CX C/ 10 UN,10,768455132072
1733,CURATIVO HIDROFIBRA C/PRATA 15X15CM,CONVATEC,UN,CX C/ 5UN,5,768455132089
1744,CURATIVO HIDROFIBRA DUPLA CAMADA 10X10CM,CONVATEC,UN,CX C/ 10 UN,10,768455126651
1728,CURATIVO HIDROFIBRA PRATA 15X15CM ,CONVATEC,UN,CX C/ 5UN,5,768455127467
1731,CURATIVO HIDROFIBRA S/PRATA 15X15AQUACEL,CONVATEC,UN,CX C/ 5UN,5,768455125647
1795,"CURATIVO KALTOSTAT 7,5X12CM ALG CAL/SODI",CONVATEC,UN,CX C/ 10 UN,10,768455081158
1789,CURATIVO PRESSAO NEGATIVA 12X21CM ,CONVATEC,UN,CX C/ 5UN,5,768455139224
1790,CURATIVO PRESSAO NEGATIVA 12X31CM ,CONVATEC,UN,CX C/ 5UN,5,768455139231
1787,CURATIVO PRESSAO NEGATIVA 16X16CM ,CONVATEC,UN,CX C/ 5UN,5,768455139200
1788,CURATIVO PRESSAO NEGATIVA 16X21CM ,CONVATEC,UN,CX C/ 5UN,5,768455139217
2121,CURATIVO REDONDO KIDS  BEGE (STOPPER),STOPPER,UN,CX C/ 500 UN,500,7898921246330
2395,CURATIVO REDONDO ROLO ADULTO (STOPPER),STOPPER,UN,CX C/ 500 UN,500,7890000003723
2122,CURATIVO REDONDO ROLO ADULTO (STOPPER),STOPPER,UN,CX C/ 500 UN,500,7890000003409
2182,CYMEVIR 1 MG/ML INJ 250 ML ,HALEX ISTAR,UN,CX C/ 10 BS,10,7896727870889
1118,DACARB 200 MG PO LIOF INJ,EUROFARMA ONCO,FA,CX C/ 10 FA,10,7891317462673
458,DACARBAZINA 200 MG PO LIOF INJ,BERGAMO,FA,CX C/ 1 FA,1,7898149938642
2921,DAFLON 1000MG CP,SERVIER,CP,CX / 30 CP,30,7898029551848
3205,DAFLON 500MG CP ,SERVIER,CP,CX C/ 30 CP,30,7898029551770
2920,DAFLON 500MG CP VP,SERVIER,CP,CX C/ 30 CP,30,17898029551770
2932,DAFLON FLEX 1000MG EV,SERVIER,EN,CX / 30 EV,30,7898029550766
1996,DAFORIN 20 MG/ML SOL (C1) VP,EMS SIGMA PHARMA,FR,CX C/ 1 FR,1,7894916201353
75,DANTROLEN 20 MG PO LIOF INJ C/ DIL,CRISTALIA,FA,CX C/ 12 FA,12,7896676405538
3393,DAPTOMICINA 350 MG PO LIOF INJ,ACCORD,FA,CX C/ 14 FA,14,7898577811371
3546,DAPTOMICINA 500 MG PO LIOF INJ,ACCORD,FA,CX C/ 1 FA,1,7898577811326
1504,DARAPRIM 25 MG CP,FQM,CP,CX C/ 30 CP,30,17898040323288
2795,DARAPRIM 25 MG CP VP,FQM,CP,CX C/ 30 CP,30,7898040323288
249,DECAN HALOPER 50 MG/ML INJ 1 ML  (C1),UNIAO QUIMICA,AP,CX C/ 3 AP,3,7896006261629
2721,DEMI-D 50.000 UI CP,FQM,CP,CX C/ 4 CP,4,7898040328016
2949,DEMI-D 7.000 UI CP,FQM,CP,CX C/ 4 CP,4,7898040327989
2734,DENSIS 5MG,MOMENTA,BS,CX C/ 1 BS,1,7899640809264
1993,DEPOSTERON 100 MG/ML INJ 2 ML (C5),EMS SIGMA PHARMA,AP,CX C/ 3 AP,3,7894916202671
2908,"DERMACERIUM 1% + 0,4% 120G",CRISTALIA,BI,CX C/ 1 BG,1,7896676438109
2907,"DERMACERIUM 1% + 0,4% 400G",CRISTALIA,UN,CX C/ 1 PT,1,7896676438147
2962,"DERMACERIUM 1% + 0,4% 50G",CRISTALIA,BI,CX C/ 1 BG,1,7896676438093
2444,DESFERAL 500 MG PO LIOF INJ C/DIL 5 ML ,NOVARTIS,FA,CX C/ 10 FA,10,7896261005082
1198,DESINFETANTE HIPOCLORITO DE SODIO 10% 5L,INDALABOR,UN,CX C/ 1 UN,1,7000000000133
1047,"DESINFETANTE ORTOFTALDEÍDO 0,55% 5 L",INDALABOR,UN,CX C/ 1 UN,1,7898355992865
1045,DESINFETANTE QUATENARIO AMONIO 5 L,INDALABOR,UN,CX C/ 1 UN,1,7898355991004
1046,DESINFETANTE QUATENARIO AMONIO 5 L,INDALABOR,UN,CX C/ 1 UN,1,7898355995613
1044,DESINFETANTE QUATENARIO AMONIO 750ML SPR,INDALABOR,UN,CX C/ 1 UN,1,7898355990977
2957,DESIRÉE 10 MG CP (C1),FQM,CP,CX C/ 60 CP,60,7898040325633
219,"DESLANOL 0,2 MG/ML 2 ML INJ",UNIAO QUIMICA,AP,CX C/ 50 AP,50,7896006265702
1483,"DESMOPRESSINA 0,1 MG/ML SOL SPR 2,5 ML",BERGAMO,FR,CX C/ 1 FR,1,7898149934910
1041,DETERGENTE CONCENTRADO LIQ 5 L,INDALABOR,UN,CX C/ 1 UN,1,7898355992520
1037,DETERGENTE NEUTRO  LIQ 5 L,INDALABOR,UN,CX C/ 1 UN,1,7898355994081
1053,DETERGENTE PRÉ LIMPEZA  750 ML,INDALABOR,UN,CX C/ 1 UN,1,7898355995309
1406,DEX 100 MCG/ML INJ (C1),CRISTALIA,FA,CX C/ 5 FA ,5,7896676431858
2080,DEXADOR 5000 MCG/ML INJ A 2ML  B 1ML VP,ARESE PHARMA,UN,CX C/3 DOSES,3,7899824400942
316,"DEXAMETASONA 0,1 MG/ML ELX 100 ML",FARMACE,FR,CX C/ 1 FR,1,7898166041165
1911,"DEXAMETASONA 0,1 MG/ML ELX 120 ML",EMS,FR,CX C/ 1 FR,1,17896004703565
2811,"DEXAMETASONA 0,1 MG/ML ELX 120 ML VP",EMS,FR,CX C/ 1 FR,1,7896004703565
1639,DEXAMETASONA 1 MG/G BG CREM,EMS,UN,CX C/ 1 BG,1,17896004721903
294,DEXAMETASONA 1 MG/G BG CREM,PRATI DONADUZZI,BI,CX C/ 1 BG,1,7898148294602
3178,DEXAMETASONA 1 MG/G BG CREM VP,EMS,UN,CX C/ 1 BG,1,7896004721903
1322,DEXAMETASONA 2 MG/ML 1 ML INJ,HIPOLABOR,AP,CX C/ 100 AP,100,7898123905677
456,DEXAMETASONA 2 MG/ML INJ 1 ML,HYPOFARMA,AP,CX C/ 50 AP,50,7898122911907
3197,DEXAMETASONA 2 MG/ML INJ 1 ML,FARMACE,AP,CX C/ 100 AP,100,7898166040755
900,DEXAMETASONA 4 MG CP,LEGRAND,CP,CX C/ 10 CP,10,7894916141499
3135,DEXAMETASONA 4 MG CP ,EMS,CP,CX C/ 10 CP,10,17896004712147
1508,DEXAMETASONA 4 MG CP VP,EMS,CP,CX C/ 10 CP,10,7896004712147
1010,"DEXAMETASONA 4 MG/ML 2,5 ML INJ",FARMACE,AP,CX C/ 100 AP,100,7898166040786
3304,"DEXAMETASONA 4 MG/ML 2,5 ML INJ",EUROFARMA,AP,CX C/ 50 AP,50,7891317016616
955,"DEXAMETASONA 4 MG/ML INJ 2,5 ML",FARMACE,AP,CX C/ 100 AP,100,3066000000001
1271,"DEXAMETASONA 4 MG/ML INJ 2,5 ML",HIPOLABOR,AP,CX C/ 100 AP,100,7898123905684
445,"DEXAMETASONA 4 MG/ML INJ 2,5 ML",HYPOFARMA,AP,CX C/ 50 AP,50,7898122911921
3204,"DEXCLORFENIRAMINA 0,4 MG/ML S OR 120MLVP",EMS,FR,CX C/ 1 FR,1,7896004704999
1616,"DEXCLORFENIRAMINA 0,4 MG/ML SOL OR 120ML",EMS,FR,CX C/ 1 FR,1,17896004704999
2561,"DEXCLORFENIRAMINA 0,4 MG/ML SOL OR VP",PRATI DONADUZZI,FR,CX C/ 1 FR,1,7898148295852
379,"DEXCLORFENIRAMINA 0,4 MG/ML XPE 100 ML",HIPOLABOR,FR,CX C/ 1 FR,1,7898470682153
930,DEXCLORFENIRAMINA 2 MG CP,EMS,CP,CX C/ 20 CP ,20,17896004711287
3201,DEXCLORFENIRAMINA 2 MG CP VP,EMS,CP,CX C/ 20 CP ,20,7896004711287
1229,DEXCLORFENIRAMINA 2MG ,GERMED,CP,CX C/ 20 CP,20,7896004711461
2853,"DEXCLORFENIRAMINA+BETAMETASONA 0,45MG/ML",LABORATORIO GLOBO,FR,CX C/ 1 FR,1,7898060132075
979,DEXMEDETOMIDINA 100 MCG/ML INJ,CRISTALIA,FA,CX C/ 5 FA,5,7896676435054
2621,DEXMEDETOMIDINA 100 MCG/ML INJ (C1),EUROFARMA,UN,CX C/ 50 FA,50,7891317017231
1441,DEXMEDETOMIDINA 100 MCG/ML INJ (C1),EUROFARMA,FA,CX C/ 5 FA,5,7891317002374
1257,DEXMEDETOMIDINA 100 MCG/ML INJ (C1),ACCORD,FA,CX C/ 5 FA,5,9351101000972
2838,DEXMEDETOMIDINA 100MCG/ML 2ML,SANVAL,FA,CX C/ 10 FA,10,7898470684409
3191,DEXPERTA 100 MG/ML 2ML,BLAU,FA,CX C/ 10 FA,10,7896014689194
3449,DIAMICRON MR 30MG CP,SERVIER,CP,CX / 30 CP,30,17898029552128
2925,DIAMICRON MR 30MG CP VP,SERVIER,CP,CX / 30 CP,30,7898029552128
2924,DIAMICRON MR 60MG CP VP,SERVIER,CP,CX / 30 CP,30,7898029552203
266,DIAMOX 250 MG CP,UNIAO QUIMICA,CP,CX C/ 25 CP,25,7896006245322
1396,DIAZEPAM 10 MG CP (B1) ,GERMED,CP,CX C/ 30 CP,30,7894916147736
2622,DIAZEPAM 5 MG CP (B1) ,LEGRAND,CP,CX C/ 30 CP,30,7894916147729
3180,DICLOFARMA 25 MG/ML INJ 3 ML ,FARMACE,AP,CX C/ 100 AP,100,7898166040830
1888,DICLOFENACO POTASSICO 50 MG CP VP,EMS,CP,CX C/ 20 CP,20,7896004701820
2980,DICLOFENACO SODICO 100 MG CP,EMS,CP,CX C/ 10 CP,10,7896004706665
3010,DICLOFENACO SODICO 100 MG CP,EMS,CP,CX C/ 20 CP,20,7896004728629
416,DICLOFENACO SODICO 25 MG/ML INJ 3 ML,FRESENIUS,AP,CX C/ 50 AP,50,7899498608385
248,DICLOFENACO SODICO 25 MG/ML INJ 3 ML ,BLAU,AP,CX C/ 50 AP ,50,7896014656882
1369,DICLOFENACO SODICO 25 MG/ML INJ 3 ML VP,HYPOFARMA,AP,CX C/ 100 UN,100,7898122912447
1628,DICLOFENACO SODICO 50 MG CP,EMS,CP,CX C/ 20 CP,20,7896004742007
2841,DICLOFENACO SODICO 50 MG CP,GERMED,CP,CX C/ 20 CP,20,7896004710600
2689,DICLORIDRATO DE BETAISTINA 16 MG,AUROBINDO,CP,CX C/ 30 CP,30,7898361882884
2687,DICLORIDRATO DE BETAISTINA 24 MG,AUROBINDO,CP,CX C/ 30 CP,30,7898361882952
22,DIFENIDRIN 50 MG/ML INJ 1 ML VP,CRISTALIA,AP,CX C/ 25 AP,25,7896676405927
123,DILTIAZEM 30 MG CP,EMS,CP,CX C/ 50 CP,50,17896004706733
2818,DILTIAZEM 30 MG CP VP,EMS,CP,CX C/ 50 CP,50,7896004706733
2490,DILTIAZEM 60 MG CP,EMS,CP,CX C/ 25 CP,25,7896004700410
124,DILTIAZEM 60 MG CP VP,EMS,CP,CX C/ 50 CP,50,7896004700403
41,"DIMORF 0,1 MG/ML INJ 1 ML (A1) VP",CRISTALIA,AP,CX C/ 50 AP,50,7896676413076
42,"DIMORF 0,2MG/ML INJ 1 ML (A1) VP",CRISTALIA,AP,CX C/ 50 AP ,50,7896676400182
45,DIMORF 1 MG/ML INJ 2 ML (A1) VP,CRISTALIA,AP,CX C/ 50 AP,50,7896676405293
43,DIMORF 10 MG CP (A1) VP,CRISTALIA,CP,CX C/ 50 CP,50,7896676406177
92,DIMORF 10 MG/ML INJ 1 ML (A1),CRISTALIA,AP,CX C/ 5 AP,5,7896676404432
44,DIMORF 10 MG/ML INJ 1 ML (A1) VP,CRISTALIA,AP,CX C/ 50 AP,50,7896676402087
1707,DIMORF 10 MG/ML SOL 60 ML (A1),CRISTALIA,FR,CX C/ 1 FR,1,7896676405651
57,DIMORF 30 MG CP (A1) VP,CRISTALIA,CP,CX C/ 50 CP,50,7896676406184
2,DIPIFARMA 500 MG/ML INJ 2 ML,FARMACE,AP,CX C/ 100,100,7898166041004
394,DIPIRONA 50 MG/ML SOL OR,GERMED,FR,CX C/ 1 FR,1,7896004715650
1409,DIPIRONA 500 MG CP,LEGRAND,CP,CX C/ 240 CP,240,7894916143226
3529,DIPIRONA 500 MG CP,PRATI DONADUZZI,CP,CX C/ 200 CP,200,7898148294138
1403,DIPIRONA 500 MG CP ,EMS,CP,CX C/ 240 CP,240,7896004703398
275,DIPIRONA 500 MG/ML INJ 2 ML,TEUTO,AP,CX C/ 120 AP,120,7896112126584
3303,DIPIRONA 500 MG/ML INJ 2 ML VP,HYPOFARMA,AP,CX C/ 100 AP,100,7898122914410
1579,DIPIRONA 500 MG/ML SOL OR 10 ML,EMS,FR,CX C/ 1 FR,1,7896004715841
395,DIPIRONA 500 MG/ML SOL OR 10 ML,GERMED,FR,CX C/ 1 FR,1,7896004719115
2500,DIPIRONA 500 MG/ML SOL OR 20 ML,GERMED,FR,CX C/ 1 FR,1,7896004719122
2715,DIPIRONA 500 MG/ML SOL OR 20 ML,EMS,FR,CX C/ 1 FR,1,7896004718446
326,DIPIRONA 500 MG/ML SOL OR 20 ML,FARMACE,FR,CX C/ 1 FR,1,7898166040885
3552,DIPIRONA 500 MG/ML SOL OR 20 ML VP,NEO QUIMICA,FR,CX C/ 1 FR,1,7896714213736
118,DIPIRONA SODICA 50 MG/ML SOL OR 100ML,EMS,FR,CX C/ 1 FR,1,7896004715674
313,DIPIRONA SODICA 500 MG/ML SOL OR,FARMACE,FR,CX C/ 1 FR,1,17898166040847
2523,DIPIRONA SÓDICA 500 MG CP,GERMED,CP,CX C/ 30 CP,30,7896004756622
3158,DIPR + FOS BETAMETASONA 5MG + 2MG/ML 1ML,NEO QUIMICA,AP,CX C/ 1 AP,1,7898095343125
2081,DIPRIVAN 10 MG/ML INJ (C1),ASPEN PHARMA,FR,CX C/ 1 FA,1,7895858016852
2369,DIPRIVAN 10 MG/ML INJ (C1),ASPEN PHARMA,FA,CX C/ 1 FA,1,7895858016876
2372,DIPRIVAN 10 MG/ML INJ 20 ML (C1),ASPEN PHARMA,AP,CX C/ 5 AP,5,7895858016845
2375,DIPRIVAN 10 MG/ML INJ 50 ML (C1),ASPEN PHARMA,SR,CX C/ 1 SR,1,7895858016821
2373,DIPRIVAN 20 MG/ML INJ (C1),ASPEN PHARMA,FA,CX C/ 1 FA,1,7895858016869
2378,DIPRIVAN 20 MG/ML INJ 50 ML (C1),ASPEN PHARMA,UN,CX C/ 1 SR,1,7895858016838
717,DISPOSIT INCONT URINA.MASC.G ABER C/PRES,MEDSONDA,UN,CX C/ 1 UN,1,7898487862098
723,DISPOSIT INCONT. URINA MASC. N.06 N/EST,MEDSONDA,PT,CX C/ 1 UN,1,1594000000000
1802,DISPOSITIVO FIXAÇAO SONDAS/CATETERES,CONVATEC,UN,CX C/ 5UN,5,768455107629
2629,DIU DISP INTRAU COBRE S/HORM CLAS CU380 ,DKT,UN,CX C/ 1 UN,1,7898079009559
2048,DIU DISP INTRAU COBRE S/HORM MINI CU375 ,DKT,UN,CX C/ 1 UN,1,7898079009528
2051,DIU DISP INTRAU COBRE S/HORMO CONF CU375,DKT,UN,CX C/ 1 UN,1,7898079009511
2049,DIU DISP INTRAU COBRE/PRATA S/HORM AG380,DKT,UN,CX C/ 1 UN ,1,7898079009580
2050,DIU DISP INTRAUT COBRE PRATA S/HOR CU380,DKT,UN,CX C/ 1 UN,1,7898079009542
1308,"DOBUTAMINA 12,5 MG/ML INJ 20 ML",HYPOFARMA,AP,CX C/ 10 AP,10,17898122912850
2206,"DOBUTAMINA 12,5 MG/ML INJ 20 ML ",HIPOLABOR,UN,CX C/ 10 AP,10,7898123905905
3185,"DOBUTAMINA 12,5 MG/ML INJ 20 ML VP",HYPOFARMA,AP,CX C/ 10 AP,10,7898122912850
2588,"DOBUTARISTON 12,5 MG/ML INJ 20 ML",BLAU,AP,CX C/ 20 AP,20,7896014688111
1002,DOCETAXEL 20 MG/ML INJ 1ML,GLENMARK,FA,CX C/ 1 FA,1,7897473207127
1290,DOCETAXEL 20 MG/ML INJ 4ML,GLENMARK,FA,CX C/ 1 FA,1,7897473207134
542,DOCETAXEL 40 MG/ML INJ 2ML C/DIL 6ML,GLENMARK,FA,CX C/ 1 FA,1,7897473202092
1362,DOCEUNO 20 MG/ML INJ 1ML PRONTO USO,EUROFARMA ONCO,FA,CX C/ 1 FA,1,7891317001773
1440,DOCEUNO 20 MG/ML INJ 4ML PRONTO USO,EUROFARMA ONCO,FA,CX C/ 1 FA,1,7891317001810
2591,"DOCLAXIN 1,2G PO INJ",BLAU,FA,CX C/ 20 FA,20,7896014685332
2592,DOCLAXIN 600 MG PO INJ,BLAU,FA,CX C/ 20 FA,20,7896014685363
2684,DOLAMIN FLEX 125MG,FQM,CP,CX C/ 15 CP,15,7898040321253
1437,"DOLO MOFF 0,2 MG/ML INJ 1 ML (A1)",UNIAO QUIMICA,UN,CX C/ 50 UN,50,7896006218739
1837,DOLO MOFF 1 MG/ML INJ 2 ML (A1),UNIAO QUIMICA,AP,CX C/ 50 AP,50,7896006218746
2457,DOLO MOFF 10 MG/ML INJ 1 ML (A1),UNIAO QUIMICA,UN,CX C/ 50 AP,50,7896006218753
1359,DOLOSAL 50 MG/ML INJ 2 ML (A1) VP,CRISTALIA,AP,CX C/ 25 AP,25,7896676402537
2518,DOMPERIDONA 10 MG CP,GERMED,CP,CX C/ 60 CP,60,7896004723594
935,DOMPERIDONA 10 MG CP,EMS,CP,CX C/ 30 CP,30,7896004723563
2458,DOMPERIDONA 10 MG CP ,EMS,CP,CX C/ 60 CP,60,7896004723570
2976,DOPACRIS 5MG/ML INJ 10ML VP,CRISTALIA,AP,CX C/ 10 AP,10,7896676425826
2866,DOPAMINA 5MG/ML INJ 10ML,UNIAO QUIMICA,AP,CX C/ 50 AP,50,7896006268611
1352,DORMIRE 1 MG/ML INJ 5 ML VP,CRISTALIA,AP,CX C/ 10 AP,10,7896676426120
56,DORMIRE 15 MG CP (B1) VP,CRISTALIA,CP,CX C/ 20 CP,20,7896676402469
40,DORMIRE 2MG/ML SOL OR 10 ML (B1) VP,CRISTALIA,FR,CX C/ 12 FR ,12,7896676408201
2514,DORMIRE 5 MG/ML INJ 10 ML (B1) VP,CRISTALIA,AP,CX C/ 10 AP,10,7896676426137
2502,DORMIRE 5 MG/ML INJ 3 ML (B1),CRISTALIA,UN,CX C/ 10 AP,10,7896676426144
2954,DORMIUM 1MG/ML  INJ 5ML (B1),UNIAO QUIMICA,AP,CX C/ 50 AP,50,7896006226222
2733,DORMIUM 5MG/ML  INJ 10ML  (B1),UNIAO QUIMICA,AP,CX C/ 50 AP,50,7896006226246
1458,DORMONID 15 MG CP (B1) ,FQM,CP,CX C/ 20 CP,20,17896226501178
1478,DORMONID 15 MG CP (B1) ,FQM,CP,CX C/ 30 CP,30,7898040328368
2796,DORMONID 15 MG CP (B1) VP,FQM,CP,CX C/ 20 CP,20,7896226501178
1413,DORMONID 5 MG/ML INJ (B1) 10 ML,FQM,AP,CX C/ 5 AP,5,7898040328399
1414,DORMONID 5 MG/ML INJ (B1) 3 ML,FQM,AP,CX C/ 5 AP,5,7898040328382
1499,"DORMONID 7,5 MG CP (B1) ",FQM,CP,CX C/ 30 CP,30,17898040328375
2797,"DORMONID 7,5 MG CP (B1) VP",FQM,CP,CX C/ 30 CP,30,7898040328375
521,DORZAL 20 MG/ML SOL OFT 5 ML VP,LEGRAND OFTA,FR,CX C/ 1 FR,1,7896004757957
523,DORZAL MT 25 MG/ML SOL OFT 5 ML VP,LEGRAND OFTA,FR,CX C/ 1 FR,1,7896004726137
2485,DORZOLAMIDA 20 MG/ML SOL OFT 5 ML,EMS,FR,CX C/ 1 FR,1,7896004726069
3533,DORZOLAMIDA+TIMOLOL 25 MG/ML SOL OFT 5ML,LEGRAND OFTA,FR,CX C/ 1 FR,1,7894916145466
2472,DOXAZOSINA 2 MG CP,EMS,CP,CX C/ 30 CP,30,7896004712499
529,DOXAZOSINA MESILATO 2 MG CP,LEGRAND,CP,CX C/ 30 CP,30,7894916142052
1230,DOXAZOSINA MESILATO 2MG,GERMED,CP,CX C/ 30 CP,30,17896004712543
3202,DOXAZOSINA MESILATO 2MG VP,GERMED,CP,CX C/ 30 CP,30,7896004712543
2475,DOXICICLINA 100 MG CP,EMS,CP,CX C/ 15 CP,15,7896004705040
3123,DOXORRUBICINA 50 MG PO LIOF INJ,EUROFARMA ONCO,FA,CX C/ 1 FA,1,7891317023621
1135,DOXORRUBICINA 50 MG PO LIOF INJ,EUROFARMA ONCO,FA,CX C/ 10 FA,10,7891317462666
3159,DRAMIN B6 DL IV 10ML,COSMED,AP,CX C/ 100 AP,100,7896094922082
526,"DRENATAN 0,05 MG/ML SOL OFT 2,5 ML",LEGRAND OFTA,FR,CX C/ 1 FR,1,7896004724843
2189,"DRENISON 0,125 MG/G BG CREM",BIOLAB,BI,CX C/ 1 BG,1,7896241270363
982,"DROPERDAL 2,5 MG/ML INJ 1 ML C1 VP",CRISTALIA,AP,CX C/ 50 UN,50,7896676420333
1226,DULOXETINA 30 MG CP,GERMED,CS,CX C/ 15 CS,15,7896004744759
2725,DULOXETINA 30 MG CP (C1),LEGRAND,CP,CX C/ 30 CP,30,7894916148016
1395,DULOXETINA 30 MG CP (C1),GERMED,CS,CX C/ 30 CS,30,7896004754031
1958,DULOXETINA 30 MG CP (C1),EMS,CS,CX C/ 30 CS,30,7896004754949
2755,DULOXETINA 60 MG CP (C1),GERMED,CP,CX C/ 30 CP,30,7896004754048
2174,DULOXETINA 60 MG CP (C1),LEGRAND,CP,CX C/ 30 CP,30,7894916148023
1949,DULOXETINA 60 MG CP (C1) VP,EMS,CS,CX C/ 30 CS,30,7896004747774
69,"DUOFLAM  9,06 MG/ML INJ 1 ML  VP",CRISTALIA,AP,CX C/ 25 AP,25,7896676431261
80,EFEDRIN 50 MG/ML INJ 1 ML  D1 VP,CRISTALIA,AP,CX C/ 100 AP,100,7896676402056
1372,EFEDRINA 50 MG/ML INJ 1ML,HIPOLABOR,AP,CX C/ 50 AP,50,7898470682825
1295,EFRINALIN 1 MG/ML INJ 1 ML,BLAU,AP,CX C/ 100 AP,100,7896014688098
2848,ELETRODO DESC ECG  ADULTO,MAXICOR,PT,PT C/ 50,50,7898931988053
2400,ELETRODO DESC ECG  INFANTIL,MAXICOR,PT,PT C/ 30,30,7898931988046
601,ELETRODO DESC ECG ADULTO,DESCARPACK,PT,PT C/ 50,50,7898283816226
2768,ELETRODO DESC ECG ADULTO PREMIUM,MAXICOR,PT,PT C/ 50,50,7898931988947
1763,ELETRODO DESC ECG ADULTO/INFANTIL,SOLIDOR,UN,PT C/ 50,50,7890000001763
3020,"ELETRODO DESC NEONATAL 25,4X25,4MM",MEDPEX,UN,ENV C/ 50,50,7898543890157
3021,ELETRODO ECG ADULTO/INFANTIL 32X40MM,MEDPEX,UN,ENV C/ 50,50,7898543890164
