CODIGO_INTERNO;CODIGO_BARRAS;REGISTRO_ANVISA;NOME_COMERCIAL;APRESENTACAO;MARCA;TIPO_EMBALAGEM;QT_EMBALAGEM
154;7896112125969;1037004630062;ANDROCORTIL 500 MG PO/INJ IM/IV FA (S);SUCCINATO SÓDICO DE HIDROCORTISONA 500 MG PÓ/INJ IV/IM S/DIL F/A;TEUTO;CX C/50 FA;50
1910;7898123909095;1134301690053;CLOR DE FLUOXETINA 20 MG CAP (G) (C1);CLOR DE FLUOXETINA 20 MG VO CAP (C1);HIPOLABOR;CX C/500 CAP;500
172;7896112166399;1037004860041;ACICLOVIR 250 MG PO/INJ IV FA (G);ACICLOVIR 250 MG PÓ LIOFILIZADO IV S/DIL F/A;TEUTO;CX C/50 FA;50
197;7896112192152;1037002990231;AMPICILINA SODICA 1 G PO IV/IM FA (G);AMPICILINA SÓDICA 1 G PÓ/INJ IV/IM S/DIL F/A;TEUTO;CX C/50 FA;50
402;7898910350154;1565100100017;CLOR DE SERTRALINA 50 MG CP (G) (C1);CLORIDRATO DE SERTRALINA 50 MG VO CP (C1);ZYDUS;CX C/30 CP;30
436;7898927562298;1565100310011;TOPIRAMATO 50 MG CP (G) (C1);TOPIRAMATO 50 MG VO CP (C1);ZYDUS;CX C/60 CP;60
440;7899547508352;1256802340052;VAL DE SODIO 250MG/5 100 ML FR (G) (C1);"VALPROATO DE SODIO 250 MG/5 ML VO FR
 (C1)";PRATI DONADUZZI;CX C/50 FR;50
441;7896112121459;1037004650020;VAL SODIO 250 MG/5ML 100 ML FR (G) (C1);VALPROATO DE SODIO 250 MG/5 ML VO FR (C1);TEUTO;CX C/50 FR;50
171;7896112192114;1037002990193;AMPICILINA SODICA 500 MG PO/INJ FA (G);AMPICILINA SÓDICA 500 MG PÓ/INJ IV/IM S/DIL F/A;TEUTO;CX C/50 FA;50
346;7897076911278;1235202110088;OXCARBAZEPINA 600 MG CP (G) (C1);OXCARBAZEPINA 600 MG VO CP (C1);RANBAXY;CX C/60 CP;60
1875;7898505091349;1779400020011;CICLOFEMME 0,15/0,03 MG CP (S);LEVONORGESTREL + ETINILESTRADIOL 0,15/0,03 MG VO CP;MABRA;CX C/21 CP;21
352;7899095217652;1542302010079;PARACET + CODEINA 500/30 MG (G) (A2);PARACETAMOL + FOSFATO CODEINA 500/30 MG VO CP (A2);GEOLAB;CX C/96 CP;96
192;7898495605977;1156001790037;VENOCEL 100 MG CAP;AESCULUS HIPPOCASTANUM L. (CASTANHA DA ÍNDIA) 100 MG VO CAP;CIFARMA;CX C/60 CAP;60
194;7898109249887;1038501110049;OSTEOFAR 70 MG CP (S);ALENDRONATO DE SODIO 70 MG VO CP;ELOFAR;CX C/300 CP;300
195;7896014685882;1163700980091;CILINON 1 G PO/INJ C/DIL FA;AMPICILINA SÓDICA 1 G PÓ/INJ IM/IV C/DIL F/A;BLAU FARMAC.;CX C/1 + DIL;1
962;7899095238671;1542301990045;OXALATO DE ESCITALOPRAM 10 MG (G) (C1);OXALATO DE ESCITALOPRAM 10 MG VO CP (C1);GEOLAB;CX C/30 CP;30
311;7896014685165;1163700920021;CLOR DE VANCOMICINA 500 MG PO IV FA (G);CLORIDRATO DE VANCOMICINA 500 MG PÓ/INJ IV F/A;BLAU FARMAC.;CX C/20 FA;20
344;7896014686438;1163701080027;ARICILINA 5.000.000 UI PO IM/IV FA (S);BENZILPENICILINA POTASSICA 5.000.000 UI PÓ/INJ  IM/IV S/DIL FA ;BLAU FARMAC.;CX C/50 FA;50
250;17898917592813;1624100070028;LORATADINA 1 MG/ML 100 ML FR (G);LORATADINA 1 MG/ML 100 ML VO FR;MARIOL;CX C/48 FR;48
1914;7898557141511;6633900180029;LACTULIFE 667 MG/ML AMEIXA 120 ML FR (S);LACTULOSE 667 MG/ML AMEIXA 120 ML FR;NATURELIFE;CX C/50 FR;50
253;7897406115949;1006302290111;MEROPENEM 1 G PO/INJ FA (G);MEROPENEM 1 G PÓ/INJ IV S/DIL F/A;BIOCHIMICO;CX C/25 FA;25
254;7897406115925;1006302290030;MEROPENEM 500 MG PO/INJ 20 ML FA (G);MEROPENEM 500 MG PÓ/INJ IV S/DIL F/A;BIOCHIMICO;CX C/25 FA;25
263;7896014686964;1890000380034;CEFARISTON 1G  PO/INJ IM/IV FA;CEFALOTINA SÓDICA 1G PÓ/INJ IM/IV S/DIL FA;BLAU FARMAC.;CX C/100 FA;100
297;7896014685431;1163700930051;FAZOLON 1G  PO/INJ IM/IV FA (S);"CEFAZOLINA SÓDICA 1G PO/INJ IM/IV S/DIL FA
";BLAU FARMAC.;CX C/20 FA;20
453;7898487612303;1140200340035;PIPERACILINA + TAZOBAC 4G/500 MG FA (G);PIPERACILINA SODICA + TAZOBACTAM 4 G/500 MG PÓ/INJ IV F/A;NOVAFARMA;CX C/25 FA;25
347;7896014655229;1163700690026;HEPAMAX S 5000 UI/ML IV/SC 5 ML FA (S);HEPARINA SÓDICA 5000 UI/ML IV/SC 5 ML F/A;BLAU FARMAC.;CX C/25 FA;25
349;7899095249912;1542301750168;ZILEPAM 0,5 MG CP (S) (B1);CLONAZEPAM 0,5 MG VO CP (B1);GEOLAB;CX C/480 CP;480
248;7896862970581;1091700980031;FLUCONAZOL 150 MG CAP (G);FLUCONAZOL 150 MG VO CAP ;MEDQUIMICA;CX C/100 CAP;100
580;580;*************;ANULACAO VALOR REF AQUIS DE SERV TRANSP;ANULACAO DE VALOR RELATICO A AQUISICAO DE SERVICOS DE TRANSPORTE;NAO SE APLICA;NAO SE APLIC;1
1130;7891721023507;1008902770072;MESILATO DE DOXAZOSINA 4 MG CP (G);"MESILATO DE DOXAZOSINA 4 MG VO CP
";MERCK;CX C/30 CP;30
471;7896112190134;1037003720025;BESILATO DE ANLODIPINO 5 MG CP (G);BESILATO DE ANLODIPINO 5 MG VO CP;TEUTO;CX C/30 CP;30
476;7896112125723;1037004870063;CLOR DE FLUOXETINA 20 MG CAP (G) (C1);CLOR DE FLUOXETINA 20 MG VO CAP (C1);TEUTO;CX C/70 CAP;70
392;7896422533713;1018106410014;TRAVOPROSTA 0,04 MG/ML 2,5 ML (G);"TRAVOPROSTA 0,04 MG/ML FR

";MEDLEY;FR C/2,5 ML;1
1131;7891721275012;1008903370019;FINASTERIDA 5 MG CP (G);FINASTERIDA 5 MG VO CP;MERCK;CX C/30 CP;30
465;7896014668021;1163701300035;CITRATO DE TAMOXIFENO 20 MG CP (G);CITRATO DE TAMOXIFENO 20 MG VO CP;BLAU FARMAC.;CX C/30 CP;30
467;7896014663521;1163701290031;ACIDO ZOLEDRONICO 4 MG IV 5 ML FA (G);ACIDO ZOLEDRONICO 4 MG IV 5 ML FA;BLAU FARMAC.;CX C/10 FA;10
412;7896014687923;1163701360062;CEFTRIAXONA SODICA 1G PO/INJ IV FA (G);CEFTRIAXONA SODICA 1 G PÓ/INJ IV S/DIL FA ;BLAU FARMAC.;CX C/100 FA;100
1129;7896112125013;1037001000051;BEPEBEN 600.000 UI PO/INJ IM FA (S);BENZILPENICILINA BENZATINA 600.000 UI PÓ/INJ IM S/DIL FA;TEUTO;CX C/50 FA;50
568;7896006238706;1049712310019;UNI HIOSCIN 10 MG CP (S);BUTILBROMETO DE ESCOPOLAMINA 10 MG VO CP SULCADOS (5 BLISTERS C/ 5 CP);UNIAO QUIMICA;CX C/20 CP;20
475;7896112128885;1037005090045;CEFALEXINA 50 MG/ML 60 ML FR (G);CEFALEXINA 50 MG/ML VO FR;TEUTO;CX C/50 FR;50
388;7896014685035;1163700800042;CEFTAZIDON 1 G IM/IV PÓ P/INJ FA (S);CEFTAZIDIMA PENTAHIDRATADA 1 G PÓ/INJ IV/IM F/A;BLAU FARMAC.;CX C/20 FA;20
389;7896112175216;1037006360054;MIDAZOLAM 5 MG/ML IM/IV 3ML AMP (G) (B1);MIDAZOLAM 5MG/ML SOL/INJ IM/IV 3 ML F/A (B1);TEUTO;CX C/5 AMP;5
548;7898582250028;0;SORISMA N 0,9/0,1 MG/ML 30 ML FR (S);CLORETO DE SODIO + CLORETO BENZALCONIO 0,9/0,1 MG/ML 30 ML SOL NASAL FR;MARIOL;CX C/48 FR;48
573;7896006213543;1049700040062;ARTRINID 50 MG/ML SOL/INJ 2 ML AMP (S);CETOPROFENO 50 MG/ML SOL/INJ IM 2 ML AMP;UNIAO QUIMICA;CX C/50 AMP;50
505;7897406110982;1006301770047;CEZOLIN 1G PO/INJ IM/IV FA (S);"CEFAZOLINA SÓDICA 1G PO/INJ IM/IV S/DIL FA
";BIOCHIMICO;CX C/50 FA;50
549;7897406113068;1006302200024;ISOFLURANO SOL INALA C/100 ML (G)  (C1);ISOFLURANO SOLUÇÃO INALATÓRIA FRASCO 100 ML FR (C1);BIOCHIMICO;FR C/100 ML;1
574;7896006252160;1049700040097;ARTRINID 100 MG PO/INJ IV FA (S);CETOPROFENO 100 MG PÓ/INJ IV S/DIL F/A;UNIAO QUIMICA;CX C/50 FA;50
498;7896014670055;1163700990011;ACIDO TRANEXAMICO 50 MG/ML IV AMP (G);ACIDO TRANEXAMICO 50 MG/ML IV 5 ML AMP;BLAU FARMAC.;CX C/5 AMP;5
504;7896112430063;1097400460112;EPILENIL 500 MG CP (S) (C1);ACIDO VALPROICO 500 MG VO CP (C1);BIOLAB;FR C/50 CP;50
522;7896112136378;1037005820035;DOBUTAMINA 12,5 MG/ML IV AMP (G);CLORIDRATO DE DOBUTAMINA 12,5 MG/ML SOL/INJ IV 20 ML AMP;TEUTO;CX C/50 AMP;50
552;7896006226505;1049713440013;CARBAMAZEPINA 2% 100 ML (G) (C1);CARBAMAZEPINA 20 MG/ML 100 ML VO FR (C1);UNIAO QUIMICA;FR C/100 ML;1
554;7895858009366;1376401430011;LANVIS 40 MG CP (E);TIOGUANINA 40 MG VO CP;ASPEN PHARMA;CX C/25 CP;25
489;7896472509843;1181900790057;MICLOX 100 MG CP (S);TARTARATO DE METOPROLOL 100 MG VO CP;MULTILAB;CX C/30 CP;30
492;7896112132257;1037003820062;CEFALEXINA 500 MG CP (G);"CEFALEXINA 500 MG VO CP
";TEUTO;CX C/500 CP;500
555;7895858007348;1376401330014;PURINETHOL 50 MG CP (S);MERCAPTOPURINA 50 MG VO CP;ASPEN PHARMA;CX C/25 CP;25
494;7896112173618;1037006500034;LENAZEN 0,1 MG/ML SOL/ IV 5 ML (S) (C1) ;FLUMAZENIL 0,1 MG/ML SOL/INJ IV 5 ML AMP (C1);TEUTO;CX C/5 AMP;5
509;7896014688296;1163701050012;HIDROCORTISONA 100 MG PO IM/IV FA (G);SUCCINATO SÓDICO DE HIDROCORTISONA 100 MG IM/IV PO INJ S/DIL P/INJ F/A;BLAU FARMAC.;CX C/50 FA;50
577;7898910350079;1565100080024;MONO DE ISOSSORBIDA 40 MG CP (G);MONONITRATO DE ISOSSORBIDA 40 MG VO CP;ZYDUS;CX C/20 CP;20
510;7899095242159;1542302250101;CLOR DE SERTRALINA 50 MG CP (G) (C1);CLORIDRATO DE SERTRALINA 50 MG VO CP (C1);GEOLAB;CX C/490 CP;490
513;7891721201219;1008903490022;RISPERIDONA 1 MG CP (G) (C1);RISPERIDONA 1 MG VO CP (C1);MERCK;CX C/30 CP;30
515;7891721201257;1008903490022;RISPERIDONA 3 MG CP (G) (C1);RISPERIDONA 3 MG VO CP (C1);MERCK;CX C/30 CP;30
579;579;*************;RESSARCIMENTO DE PERDAS E AVARIAS;RESSARCIMENTO DE PERDAS E AVARIAS;NAO SE APLICA;NAO SE APLIC;1
479;7896014685707;1163701000082;CEFALOTINA SOD 1G PO/INJ IM/IV FA (G);CEFALOTINA SÓDICA 1G PÓ/INJ IM/IV S/DIL FA;BLAU FARMAC.;CX C/100 FA;100
521;7896523214658;1438101740083;CLOR DE CICLOBENZAPRINA 10MG CP (G);CLORIDRATO DE CICLOBENZAPRINA 10 MG VO CP;CIMED;CX C/ 30 CP;30
558;7899095204980;1542300130050;NISOFLAN 50 MG/ML C/15 ML (S);NIMESULIDA 50 MG/ML FR;GEOLAB;FR C/15 ML;1
526;7898216366194;1410701080033;SINVASTATINA 10 MG CP (G);SINVASTATINA 10 MG VO CP;PHARLAB;CX C/500 CP;500
529;7896862918965;1091700970036;AZITROMICINA DIHIDRATADA 500 MG CP (G);AZITROMICINA DI-HIDRATADA 500 MG VO CP;MEDQUIMICA;CX C/300 CP;300
531;7896523215174;1438100410071;LORATAMED 10 MG CP (S);LORATADINA 10 MG VO CP;CIMED;CX C/360 CP;360
547;7896112197362;1037006490071;MARFARIN 5 MG CP (S);VARFARINA SÓDICA 5 MG VO CP (5 BLISTERS C/10 CP);TEUTO;CX C/50 CP;50
532;7897406110999;1006301380036;CEFAZIMA 1 G IM/IV PO/INJ IM/IV FA (G);CEFTAZIDIMA PENTAHIDRATADA 1 G PÓ/INJ IM/IV F/A;BIOCHIMICO;CX C/50 FA;50
540;7896112175230;1037006360178;MIDAZOLAM 5 MG/ML 10ML AMP (G) (B1);MIDAZOLAM 5 MG/ML SOL/INJ IM/IV 10ML F/A (B1);TEUTO;CX C/5 AMP;5
575;7896112124443;1037005100040;CLOR DE AMITRIPTILINA 25 MG CP (G) (C1);CLORIDRATO DE AMITRIPTILINA 25 MG VO CP (C1) (5 BLISTERS C/20 CP REVESTIDOS);TEUTO;CX C/100 CP;100
1132;7891721201233;1008903490057;RISPERIDONA 2 MG CP (G) (C1);RISPERIDONA 2 MG VO CP (C1);MERCK;CX C/30 CP;30
545;7896112122456;1037006400021;FENOBARBITAL 100 MG CP (G) (B1);FENOBARBITAL 100 MG VO CP SULCADOS (B1) (5 BLISTERS C/20 CP);TEUTO;CX C/100 CP;100
546;7896112190691;1037005020063;TRAMADOL 100 MG 2 ML AMP (G) (A2);TRAMADOL 50 MG/ML SOL/INJ IM/IV 2 ML AMP (A2);TEUTO;CX C/60 AMP;60
1314;7896862940096;1091700680011;ATROVEX 6,67 + 333,4 MG/ML 20 ML (S);BUTILBROMETO DE ESCOPOLAMINA 6,67 + DIPIRONA 333,4 MG/ML  20 ML VO FR SABOR BAUNILHA;MEDQUIMICA;FR C/20 ML;1
1319;7899547507461;1256800530059;MICONAZOL 20 MG/G 80G CREM VAG BIS (G);NITRATO DE MICONAZOL 20 MG/G 80 G CREME VAGINAL BIS + APLICADOR;PRATI DONADUZZI;CX C/50 BIS;50
1321;7896523216058;1438101730703;ATORVASTATINA CALCICA 20 MG CP (G);ATORVASTATINA CALCICA 20 MG VO CP (6 BLISTERS C/15 CP);CIMED;CX C/90 CP;90
1322;7898075315425;1048100980147;MALEATO DE ENALAPRIL 10MG CP (G);MALEATO DE ENALAPRIL 10 MG VO CP;ONEFARMA;CX C/500 CP;500
1534;7896862912017;1091700470017;DELTAMETRIL 0,2 MG/ML 100 ML (S);DELTAMETRINA 0,2 MG/ML 100 ML SHAMPOO FR;MEDQUIMICA;FR C/100 ML;1
562;7898075315258;1048101080085;CLOR DE CICLOBENZAPRINA 10 MG CP (G);CLORIDRATO DE CICLOBENZAPRINA 10 MG VO CP;ONEFARMA;CX C/ 30 CP;30
559;7899547506525;1256800890055;RUBROMICIN 50 MG/ML 60 ML FR (S);ESTOLATO DE ERITROMICINA 50 MG/ML SUSP ORAL 60 ML FR;PRATI DONADUZZI;CX C/50 FR;50
560;7896112166245;1037005790039;NITROFURANTOINA 100 MG CP (G);NITROFURANTOINA 100 MG VO CP;TEUTO;CX C/280 CP;280
564;7896112131229;1037004720118;CARBAMAZEPINA 200 MG CP (G) (C1);CARBAMAZEPINA 200 MG VO CP (C1);TEUTO;CX C/500 CP;500
570;7896006272717;1049711280027;NAUSICALM B6 50 + 50 MG/ML IM AMP (S);DIMENIDRINATO + CLORIDRATO DE PIRIDOXINA 50/50 SOL/ INJ IM 1 ML AMP;UNIAO QUIMICA;CX C/50 AMP;50
566;7899824400942;1581900150010;DEXADOR INJ  C/3 AMP 2 ML AMP 1 ML (S);CIANOCOBALAMINA + CLOR. PIRIDOXINA + TIAMINA + DEXAMETASONA 5.000 MCG/100/100 MG 3 AMP 2 ML +3 AMP 1 ML;ATIVUS;CX C/3 AMP;3
571;7896006237556;1049714060044;NORMASTIG 0,5MG/ML IM/IV/SC AMP (S);METILSULFATO DE NEOSTIGMINA 0,5 MG/ML SOL/INJ IM/IV/SC 1 ML AMP;UNIAO QUIMICA;CX C/50 AMP;50
1303;7896523212692;1438101770039;NIMESULIDA 100 MG CP (G);NIMESULIDA 100 MG VO CP (50 BLISTERS C/12 CP);CIMED;CX C/600 CP;600
1158;7897076906038;1235202110045;OXCARBAZEPINA 300 MG CP (G) (C1);OXCARBAZEPINA 300 MG VO CP (C1);RANBAXY;CX C/60 CP;60
1167;7899095237957;1542302220049;OLANZAPINA 10 MG CP (G) (C1);"OLANZAPINA 10 MG VO CP REVESTIDOS
 (C1)";GEOLAB;CX C/30 CP;30
1168;7899095237896;1542302220154;OLANZAPINA 5 MG CP (G) (C1);"OLANZAPINA 5 MG VO CP REVESTIDOS
 (C1)";GEOLAB;CX C/30 CP;30
1169;7896523206547;1438100760031;VALERIMED 50 MG CP (S);VALERIANA OFFICINALIS L 50 MG VO CP ;CIMED;CX C/20 CP;20
1171;7898123907480;1134301430086;MIDAZOLAM 5 MG/ML 10ML AMP (G) (B1);MIDAZOLAM 5 MG/ML SOL/INJ IM/IV 10ML AMP;HIPOLABOR;CX C/100 AMP;100
1281;7891721028113;1008903830028;PREGABALINA 75 MG CAP (G) (C1);PREGABALINA 75 MG VO CAP (C1);MERCK;CX C/30 CAP;30
1137;7896112157809;1037006060263;LEXAPRASS 20 MG CP (S) (C1);OXALATO DE ESCITAPRAM 20 MG VO CP (C1) (10 BLISTERS C/7 CP);TEUTO;CX C/70 CP;70
1139;7897406113044;1006302210029;SEVOFLURANO 1 MG/ML C/100 ML (G) (C1);SEVOFLURANO 1 ML/ML  SOLUÇÃO PARA INALAÇÃO 100 ML FR (C1);BIOCHIMICO;FR C/100 ML;1
1148;7896523206943;1438100790044;BABYMED 45 G BIS (S) ;RETINOL 5000 UI/G + COLECALCIFEROL 900 UI/G + OXIDO DE ZINCO 150 MG/G 45 G BIS TÓPICO;CIMED;BIS 45 G;1
1173;793573267603;80746270003;LUVA PROC C/PO STANDARD EP UN;LUVAS DE LATEX NAO ESTERIL PARA PROCEDIMENTO C/ PO TAMANHO EP  ;UNIGLOVES;CX C/100 UN;100
1144;7896241274903;1097401010013;NORESTIN 0,35 MG CP (S);NORETISTERONA 0,35 MG VO CP;BIOLAB;CX C/35 CP;35
1160;7896006246305;1049712300021;UNITIDAZIN 25 MG CP (S) (C1);CLORIDRATO DE TIORIDAZINA 25 MG VO CP (C1);UNIAO QUIMICA;CX C/20 CP;20
1161;7896006246381;1049712300031;UNITIDAZIN 50 MG CP (S) (C1);CLORIDRATO DE TIORIDAZINA 50 MG VO CP (C1);UNIAO QUIMICA;CX C/20 CP;20
1162;7896006246503;1049712300048;UNITIDAZIN 100 MG CP (S) (C1);CLORIDRATO DE TIORIDAZINA 100 MG VO CP (C1);UNIAO QUIMICA;CX C/20 CP;20
1163;7896006260172;1049701910060;UNI HALOPER 5 MG CP (S) (C1);HALOPERIDOL 5 MG VO CP (C1) (COMPRIMIDOS SULCADOS);UNIAO QUIMICA;CX C/200 CP;200
1134;7898148294480;1256800800080;LORATADINA 1 MG/ML 100 ML FR (G);LORATADINA 1 MG/ML 100 ML VO FR + COPO MEDIDOR;PRATI DONADUZZI;CX C/50 FR;50
1135;7898148291281;1256801510061;CLOR DE METFORMINA 500 MG CP (G);CLORIDRATO DE METFORMINA 500 MG VO CP;PRATI DONADUZZI;CX C/400 CP;400
1140;7896014673124;1163701380039;FERROPURM 20MG/ML IV INJ 5 ML AMP (S);SACARATO HIDROXIDO FERRICO 20 MG/ML SOL/INJ IV 5 ML AMP;BLAU FARMAC.;CX C/5 AMP;5
1143;7898569762681;1351700280048;EZETIMIBA 10 MG CP (G);EZETIMIBA 10 MG VO CP;ALTHAIA;CX C/ 60 CP;60
1277;7898947017143;80451960191;DERMAEX ALMOTOLIA 200 ML FR ;ACIDOS GRAXOS ESSENCIAIS/ OLEO CICATRIZANTE/ALMOTOLIA 200 ML FR;NUTRIEX;CX C/24 FR;24
1155;7896006261629;1049711330016;DECAN HALOPER 50MG/ML IM (S) (C1);DECANOATO DE HALOPERIDOL 50 MG/ML SOL/INJ IM 1 ML AMP (C1);UNIAO QUIMICA;CX C/3 AMP;3
1156;7898901848998;1556200280018;CEFALOTINA SOD 1G PO/INJ IM/IV FA (G);CEFALOTINA SÓDICA 1G PÓ/INJ IM/IV S/DIL FA;ABL;CX C/50 FA;50
1334;7898133137020;1384100290375;OSTEOFIX D 1250(EQ 500) MG/400 UI CP (S);CARBONATO DE CALCIO + COLECALCIFEROL 1250 (EQUIVALENTE A 500 MG DE CALCIO ELEMENTAR) MG/400 UI VO 50 FRASCOS C/ 60 CP;NATULAB;CX C/3000 CP;3000
1133;7899824400065;1186102810019;JOFIX 4 MG CP (S);CLORIDRATO DE ONDANSETRONA 4 MG CP (COMPRIMIDO DE DESINTEGRAÇÃO ORAL);ATIVUS;CX C/10 CP;10
1141;7896523226514;1438101810057;ACICLOVIR 200 MG (HOSP) CP (G);ACICLOVIR 200 MG (HOSP) VO CP (2 BLISTERS C/15 CP);CIMED;CX C/30 CP;30
1328;7899547514995;1256802550170;CLOR DE PROPAFENONA 300 MG CP (G);CLORIDRATO DE PROPAFENONA 300 MG VO CP (30 BLISTER C/10 CP);PRATI DONADUZZI;CX C/300 CP;300
1138;7896006272113;1049701490043;OXITON 5 UI/ML IV AMP (S);OCITOCINA 5 UI/ML IV SOL/INJ 1 ML AMP ;UNIAO QUIMICA;CX C/50 AMP;50
1164;7899095241497;1542302230052;UNIAIR 4 MG CP (S);"MONTELUCASTE DE SODIO 4 MG VO CP MASTIGAVEIS
";GEOLAB;CX C/30 CP;30
1165;7899095241275;1542302230265;UNIAIR 5 MG CP (S);"MONTELUCASTE DE SODIO 5 MG VO CP MASTIGAVEIS
";GEOLAB;CX C/30 CP;30
1166;7899095241381;1542302230370;UNIAIR 10 MG CP (S);"MONTELUCASTE DE SODIO 10 MG VO CP REVESTIDOS (3 BLISTERS C/10 CP)
";GEOLAB;CX C/30 CP;30
1276;7896014687862;1163701410051;OXACILINA SOD 500 MG PO/INJ FA (G);OXACILINA SODICA 500 MG PO/INJ IM/IV FA;BLAU FARMAC.;CX C/100 FA;100
1202;7898208141341;1140200130065;GENTAMICIN 40MG IM/IV SOL/INJ AMP (S);SULFATO DE GENTAMICINA 40 MG/ML SOL/INJ IM/IV 1 ML;NOVAFARMA;CX C/50 AMP;50
1204;7898208141358;1140200130073;GENTAMICIN 80MG IM/IV SOL/INJ AMP (S);SULFATO DE GENTAMICINA 40 MG/ML SOL/INJ IM/IV 2 ML AMP;NOVAFARMA;CX C/50 AMP;50
1205;7898208147947;1140200120061;GLIOCORT 500 MG PO INJ IM/IV FA (S);SUCCINATO SÓDICO DE HIDROCORTISONA 500 MG PÓ/INJ IM/IV S/DIL F/A;NOVAFARMA;CX C/50 FA;50
1294;7896112414698;1097401740054;CLAUDIC 100 MG CP (S);CILOSTAZOL 100 MG VO CP;BIOLAB;CX C/ 30 CP;30
1305;7898148295357;1256801840027;MICONAZOL 20 MG/G 28 G CREM DERM BIS (G);NITRATO DE MICONAZOL 20 MG/G 28 G CREME DERMATOLOGICO BIS;PRATI DONADUZZI;CX C/100 BIS;100
1186;7896006237075;1049701550048;CLORPROMAZ 100 MG CP (S) (C1);CLORIDRATO DE CLORPROMAZINA 100 MG VO CP (C1);UNIAO QUIMICA;CX C/100 CP;100
1187;7896006237174;1049713260015;FLUMAZENIL 0,1 MG/ML IV 5 ML (G) (C1);FLUMAZENIL 0,1 MG/ML SOL/INJ IV 5 ML AMP (C1);UNIAO QUIMICA;CX C/5 AMP;5
1188;7897406119404;1006302470020;CEFAZOLINA 1G PO/INJ IM/IV FA (G);"CEFAZOLINA SÓDICA 1G PO/INJ IM/IV S/DIL FA
";BIOCHIMICO;CX C/50 FA;50
1206;7898208148555;1140200630025;METILPREDNISOLONA 125 MG PO+ DIL FA (G);"SUCCINATO SÓDICO DE METILPREDNISOLONA 125 MG PÓ/INJ IM/IV C/DIL F/A 


";NOVAFARMA;CX C/25 FA;25
1284;7898148293698;1256800260051;NISTATINA 100.000 UI/ML 30 ML FR (G);NISTATINA 100.000 UI/ML 30 ML SUSP ORAL VO FR;PRATI DONADUZZI;CX C/200 FR;200
1199;7896014685844;1163700980059;CILINON 500MG PO/INJ IM/IV FA (S);AMPICILINA SÓDICA 500 MG PÓ/INJ IM/IV F/A;BLAU FARMAC.;CX C/100 FA;100
1200;7896014685851;1163700980067;CILINON 1 G PO/INJ IM/IV FA (S);AMPICILINA SÓDICA 1 G PÓ/INJ IM/IV F/A;BLAU FARMAC.;CX C/100 FA;100
1211;7898208144366;1140200370023;CLOR DE CEFEPIMA 1 G IM/IV FA;CLORIDRATO DE CEFEPIMA 1G PO/INJ IM/IV PO S/DIL FA;NOVAFARMA;CX C/10 FA;10
1283;7896006253693;1049701900014;PROPARK 2 MG CP (S) (C1);CLORIDRATO DE BIPERIDENO 2 MG VO CP (5 BLISTERS C/15 CP SULCADOS)(C1);UNIAO QUIMICA;CX C/75 CP;75
1345;7898123900023;1134300010016;ADREN 1 MG/ML IM/IV/SC 1 ML AMP (S);EPINEFRINA (ADRENALINA) 1 MG/ML SOL/INJ IM/IV/SC 1 ML AMP;HIPOLABOR;CX C/100 AMP;100
1191;7898148290116;1256801690076;OMEPRAZOL 20 MG CAP (G);OMEPRAZOL 20 MG VO CAP (40 BLISTERS COM 14 CAPSULAS);PRATI DONADUZZI;CX C/560 CAP;560
1192;7899547501490;1256801850081;AZITROMICINA 600 MG PÓ 15 ML FR (G);AZITROMICINA 40 MG/ML 15 ML VO FR + DILUENTE 9,2 ML + SERINGA DOSADORA;PRATI DONADUZZI;CX C/50 FR;50
1193;7899547501476;1256801850065;AZITROMICINA 900 MG PÓ 22,5 ML FR (G);AZITROMICINA 40 MG/ML 22,5 ML VO FR + DILUENTE 13,8 ML + SERINGA DOSADORA;PRATI DONADUZZI;CX C/50 FR;50
1194;7898148299324;1256801110029;ACICLOVIR 50 MG/G 10 G BIS BIS (G);ACICLOVIR 50 MG/G 10 G BIS;PRATI DONADUZZI;CX C/100 BIS;100
1209;7898487606081;1140200790091;TRAMADOL 100 MG 2 ML AMP (G) (A2);CLORIDRATO DE TRAMADOL 50 MG/ML SOL/INJ IM/IV 2 ML AMP (A2);NOVAFARMA;CX C/50 AMP;50
1218;7894916550031;1356900150041;ISORDIL SUBLINGUAL 5 MG CP (S);DINITRATO DE ISOSSORBIDA 5 MG VO CP;EMS SIGMA;CX C/30 CP;30
1300;7894916505178;1356905580036;RISEDROSS 35 MG CP (S);RISEDRONATO SODICO 35 MG VO CP ;EMS;CX C/4 CP;4
1207;7898208147183;1140200470044;ONDANSETRONA 4 MG IM/IV AMP (G);"CLORIDRATO DE ONDANSETRONA 2 MG/ML IM/IV 2 ML

";NOVAFARMA;CX C/50 AMP;50
1208;7898208148678;1140200630051;METILPREDNISOLONA 500 MG + DIL FA (G) ;"SUCCINATO SÓDICO DE METILPREDNISOLONA 500 MG PÓ/INJ IM/IV C/DIL 8ML F/A 


";NOVAFARMA;CX C/25 FA;25
1220;7898910350116;1565100020021;MELOXICAM 15 MG CP (G);"MELOXICAM 15 MG VO CP
";ZYDUS;CX C/10 CP;10
1221;7896112158332;1037002820085;OXACILINA SOD 500 MG PO/INJ FA (G);OXACILINA SODICA 500 MG PO/INJ IM/IV FA;TEUTO;CX C/50 FA;50
